Lebensmittel;Einheit;kcal;PRO;FAT;KH;FIB;GI;Standard;LiquidMl;Kategorie;Zusatzinfo;vitA;vitB1;vitB2;vitB3;vitB5;vitB6;vitB7;vitB9;vitB12;vitC;vitD;vitE;vitK;calcium;chlorid;eisen;fluorid;kalium;kupfer;magnesium;mangan;natrium;phosphor;schwefel;zink
"Marmelade";100g;250;0.4;0.1;60;1.2;65;20;;Sonstiges;"Werte variieren je nach Fruchtanteil und Zuckergehalt. Durchschnittswerte für Konfitüre Extra.";2;0.01;0.02;0.2;0.05;0.03;0.1;2;0;5;0;0.2;1;15;10;0.5;0.01;80;0.05;6;0.1;10;12;5;0.1
"Weizenmehl Type 405";100g;348;10;1;72.3;4;85;100;;Sonstiges;"Standardhaushaltsmehl mit niedrigem Ausmahlungsgrad.";0;0.06;0.03;0.7;0.25;0.1;1.1;13;0;0;0;0.3;1;15;30;1.2;0.04;120;0.14;25;0.4;2;95;140;0.8
"Möhren";100g;39;0.8;0.2;6.8;2.8;30;80;;Gemüse;"Frisch, roh. Hoher Beta-Carotin-Gehalt.";852;0.07;0.05;0.6;0.2;0.07;1.5;28;0;5;0;0.6;13;33;60;0.4;0.03;320;0.04;12;0.14;60;35;14;0.3
"Monster Energy";100ml;47;0;0;12;0;70;500;100;Getränke;"Angaben beziehen sich auf die klassische grüne Sorte (Original). Enthält Koffein, Taurin und B-Vitamine.";0;0;0.7;8.5;0;0.8;0;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0
"Mortadella";100g;311;14.2;28.1;0.5;0;0;20;;Fleisch&Wurst;"Werte können je nach Fettgehalt und Sorte leicht variieren.";0;0.18;0.15;3.8;0.5;0.25;1.5;3;1.2;0;0.5;0.2;1;15;1500;1.5;0.04;330;0.08;20;0.04;950;180;140;2.4
"Mountain Dew";100ml;48;0;0;12.4;0;65;330;100;Getränke;"Koffeinhaltiges Erfrischungsgetränk mit Zitrusgeschmack. Zuckergehalt kann je nach Region variieren.";;;;;;;;;;;;;;1;1;0.1;0;3;0;1;0;12;0;0;0.01
"Multivitaminsaft";100ml;45;0.4;0.1;10.5;0.2;45;200;100;Getränke;"Werte können je nach Fruchtmischung und zugesetzten Vitaminen variieren. Typische Anreicherung enthalten.";200;0.2;0.25;3;1;0.3;10;35;0.4;35;0;2;1;12;10;0.2;0.01;145;0.1;8;0.1;5;12;1;0.1
"Mozzarella light (8,5 % Fett)";100g;165;20.5;8.5;1.5;0;0;125;;Käse;"Fettarme Variante des klassischen italienischen Weichkäses. Hoher Proteingehalt.";110;0.02;0.25;0.1;0.2;0.05;2.5;15;1.6;0;0.2;0.1;1.5;450;250;0.2;0.02;80;0.01;20;0.01;180;350;210;2.5
"Mozzarella 20 % Fett i. Tr.";100g;165;21;8.5;1;0;0;125;;Käse;"Fettgehalt absolut ca. 8,5g bei 20% Fett i. Tr.";190;0.02;0.25;0.1;0.15;0.05;3.5;20;1.6;0;0.2;0.2;1.5;400;350;0.2;0.02;80;0.01;20;0.01;200;350;210;2.1
"Nektarine";100g;44;1;0.3;9.1;1.7;35;150;;Obst;"Frisch, roh";20;0.03;0.03;0.9;0.15;0.03;0.5;5;0;9;0;0.8;2.2;6;1;0.3;0.01;210;0.07;9;0.04;1;26;5;0.1
"Lachs (Norwegen)";100g;208;20;13;0;0;0;150;;Fisch&Meeresfrüchte;;19;0.2;0.15;7.5;0.75;0.6;5;8;3.5;0;16;1.5;10;12;60;0.7;0.04;360;0.05;27;0.02;45;240;220;0.6
"Nudeln (Hartweizen, trocken)";100g;359;12.5;1.5;71;3.4;50;100;;Brot&Teigwaren;;0;0.18;0.06;1.3;0.4;0.15;1.5;25;0;0;0;0.5;1;25;45;1.5;0.04;190;0.2;50;0.6;5;165;140;1.4
"Nürnberger Rostbratwurst";100g;312;13.5;28.5;1;0;0;25;;Fleisch&Wurst;"Werte können je nach Hersteller variieren. Hoher Fett- und Salzgehalt.";;0.5;0.2;4.5;;0.3;;;1.2;0;;0.2;1;12;1200;1.8;;240;0.12;18;0.05;850;180;;2.5
"Olivenöl";100g;884;0;99.8;0;0;0;15;;Öle&Fette;"Nativ extra, reich an einfach ungesättigten Fettsäuren.";;;;;;;;;;;;12;60;1;;0.6;;1;;0;;2;0;;0
"Orange";100g;47;1;0.2;9.1;2.2;35;150;;Obst;"Frisch, geschält. Reich an Vitamin C.";20;0.07;0.04;0.4;0.25;0.06;1;30;0;50;0;0.2;1;40;4;0.1;0.04;165;0.04;14;0.02;1;22;9;0.1
"Orangensaft";100ml;45;0.7;0.2;9;0.2;50;200;100;Getränke;"Frisch gepresst oder 100% Fruchtgehalt ohne Zuckerzusatz.";2;0.07;0.03;0.3;0.19;0.05;1;30;0;45;0;0.2;0.1;11;4;0.2;0.01;190;0.03;12;0.02;1;17;11;0.1
"Papaya";100g;32;0.5;0.1;7.1;1.9;59;200;;Obst;;28;0.03;0.04;0.4;0.2;0.04;0.4;38;0;80;0;0.5;2.6;24;5;0.4;0.01;211;0.04;41;0.04;3;16;14;0.2
"Paprika (grün/gelb)";100g;23;1.1;0.2;3.8;1.3;15;150;;Gemüse;"Durchschnittswerte für grüne und gelbe Paprika. Rote Paprika enthalten meist mehr Vitamin C.";45;0.03;0.03;0.3;0.2;0.2;0.9;26;0;115;0;0.8;10;10;4;0.4;0.01;195;0.09;11;0.09;2;22;14;0.1
"Paprika (rot)";100g;31;1.1;0.3;6;2.1;15;150;;Gemüse;"Paprika ist besonders reich an Vitamin C. Vitamin A ist hier als Retinoläquivalent (Beta-Carotin) berechnet.";350;0.04;0.05;0.4;0.2;0.2;1;22;0;140;0;0.8;5;10;5;0.4;0.01;211;0.07;12;0.1;2;26;15;0.1
"Paprikalyoner";100g;287;11;26.5;1;0.4;0;20;;Fleisch&Wurst;"Werte können je nach Fettanteil und Paprikagehalt leicht variieren.";40;0.15;0.18;3.5;0.6;0.25;1.5;5;0.6;15;0.3;0.4;3;15;1500;1.5;0.04;250;0.1;18;0.04;950;180;140;2.2
"Paranüsse";100g;670;14.3;66.8;3.6;6.7;15;30;;Nüsse&Samen;"Extrem hoher Selengehalt, zwei Kerne decken meist den Tagesbedarf.";;0.62;0.03;0.3;0.2;0.1;;22;;0.7;;5.7;0;160;;3.4;;644;1.7;376;1.2;3;725;;4
"Parmesan 32 % Fett i. Tr.";100g;392;35.8;28.4;0;0;0;30;;Käse;"Hartkäse, Fettgehalt absolut ca. 28-30g bei 32% i. Tr. aufgrund der Trockenmasse";280;0.03;0.35;0.1;0.5;0.11;1.5;7;1.5;0;0.6;0.3;1.5;1178;1100;0.2;0.04;125;0.03;44;0.02;704;694;240;4.5
"Pastinaken";100g;75;1.3;0.5;12.1;4.5;52;200;;Gemüse;"Frische Pastinaken, roh gegart ähnlich. Reich an Kalium und Ballaststoffen.";0;0.08;0.09;0.9;0.6;0.1;1;67;0;18;0;1.1;0.3;37;45;0.7;0.01;450;0.1;25;0.2;10;70;25;0.3
"Paulaner Spezi";100ml;35;0;0;8.7;0;65;500;100;Getränke;"Enthält Koffein und ist ein Mischgetränk aus Cola und Orangenlimonade.";0;0;0;0.1;0.05;0.01;0;1;0;2;0;0;0;2;1;0.02;0.01;5;0.01;1;0.01;4;1;1;0.01
"Pekannüsse";100g;691;9.2;72;4.3;9.6;15;30;;Nüsse&Samen;"Hoher Gehalt an ungesättigten Fettsäuren und Mangan.";2;0.66;0.13;1.2;0.86;0.21;10;22;0;1.1;0;0.7;3.5;70;21;2.5;0.01;410;1.2;121;4.5;1;277;110;4.5
"Pepsi Cola";100ml;43;0;0;10.7;0;60;250;100;Getränke;"Standard-Version mit Zucker. Phosphorsäure dient als Säuerungsmittel.";;;;;;;;;;;;;;2;4;0.02;0.01;1;0.01;1;0.01;4;13;1;0.01
"Pecorino Romano 32 % Fett i. Tr.";100g;392;25;32.4;0;0;0;30;;Käse;"Die Nährwerte beziehen sich auf den verzehrfertigen Käse. 32% Fett i. Tr. entspricht ca. 21% absolutem Fettgehalt, Pecorino Romano ist jedoch meistens ein Hartkäse mit ca. 32g Fett absolut pro 100g. Anpassung auf klassischen Hartkäse-Standard.";280;0.03;0.3;0.1;0.4;0.08;3;20;1.5;0;0.3;0.6;3;1160;2100;0.7;0.04;90;0.06;45;0.02;1800;760;240;4.4
"Pfirsich";100g;41;0.8;0.1;8.3;1.7;35;150;;Obst;"Frischer Pfirsich, Durchschnittswerte";43;0.02;0.03;0.9;0.17;0.02;1.7;4;0;9;0;0.5;9;8;2;0.4;0.01;205;0.06;9;0.04;1;22;11;0.1
"Pflaume";100g;46;0.6;0.2;10.2;1.7;35;150;;Obst;"Frisch, Durchschnittswert";46;0.02;0.03;0.4;0.15;0.04;0.5;3;0;5;0;0.8;10;6;2;0.4;0.01;221;0.08;10;0.06;2;22;11;0.1
"Physalis (Kapstachelbeere)";100g;76;2.3;1.1;13.3;4.9;15;100;;Obst;;42;0.11;0.04;2.8;;;;;;28;;0.5;;13;;1.5;;333;;26;;1;40;;0.1
"Pinienkerne";100g;673;13.7;68.4;13.1;3.7;15;30;;Nüsse&Samen;;1;0.36;0.23;4.4;0.31;0.09;10;58;0;0.8;0;9.3;54;16;15;5.5;0.04;597;1.3;251;8.8;2;575;180;6.4
"Pistazien";100g;615;20.2;51.6;11.7;10.6;15;30;;Nüsse&Samen;"Geröstet und ungesalzen (Durchschnittswerte)";25;0.87;0.16;1.3;0.5;1.7;12;58;0;5;0;2.3;13.2;105;130;7.3;0.1;1020;1.3;121;1.2;4;490;140;2.4
"Presssack (rot)";100g;286;12.7;26.1;0.5;0;0;50;;Fleisch&Wurst;"Auch als Blutpresssack bekannt; enthält typischerweise Schweinefleisch und Blut.";45;0.05;0.1;1.8;0.4;0.1;1.5;5;5.2;0;0.4;0.2;1;10;1600;5.8;0.1;120;0.1;15;0.04;980;180;140;1.8
"Proteinpulver (Molkenprotein)";100g;370;78.5;3.5;5.2;0.5;30;30;;Sonstiges;"Durchschnittswerte für Whey-Konzentrat; Werte können je nach Hersteller und Geschmack variieren.";;0.1;1.2;;;0.1;;;1.5;1;;;;550;;0.8;;380;;60;;250;380;;0.5
"Putenbrust";100g;105;24;1;0;0;0;150;;Fleisch&Wurst;"Frisch, gegart ohne Haut";4;0.06;0.1;9.5;0.7;0.5;1.5;8;1.4;0;0.2;0.2;1;7;60;0.7;0.01;330;0.05;28;0.02;45;215;240;1
"Putenfleisch (Brust)";100g;107;24.1;1.1;0;0;0;150;;Fleisch&Wurst;"Mageres Geflügelfleisch, Werte können je nach Teilstück variieren; hier Putenbrust ohne Haut.";4;0.06;0.1;9.3;0.7;0.5;1.8;8;1.1;0;0.3;0.2;0;6;60;1.2;0.04;330;0.1;28;0.02;50;220;240;1.6
"Putenkeule (mit Haut)";100g;165;20.5;9.2;0;0;0;200;;Fleisch&Wurst;"Werte können je nach Hautanteil variieren; mageres Geflügelfleisch.";20;0.08;0.18;4.5;0.8;0.35;3;8;1.5;0;0.1;0.2;1;15;75;1.8;0.02;280;0.1;22;0.02;65;185;210;2.8
"Putenoberkeule (ohne Haut)";100g;145;19.8;7.3;0;0;0;200;;Fleisch&Wurst;;0;0.08;0.18;5.2;0.8;0.35;3;8;1.4;0;0;0.2;0;11;74;1.5;0.02;300;0.1;22;0.02;65;185;210;2.4
"Putenschnitzel";100g;105;24.1;1.1;0;0;0;150;;Fleisch&Wurst;"Frisch, roh, ohne Panade. Mageres Geflügelbrustfleisch.";4;0.06;0.1;11;0.8;0.5;2;7;1.5;0;0.2;0.2;1;12;60;1;0.02;330;0.06;28;0.02;50;220;240;1.6
"Putensteak";100g;107;23.5;1.5;0;0;0;150;;Fleisch&Wurst;"Frisch, roh, ohne Haut";2;0.07;0.12;9.5;0.75;0.55;1.5;6;1.2;0;0.4;0.15;1;6;60;1;0.015;330;0.06;25;0.02;45;210;240;1.5
"Speisequark 20% Fett i.Tr.";100g;101;10.2;5.1;3.6;0;30;250;;Milchprodukte;"20% Fett in der Trockenmasse entspricht ca. 5% Fett absolut bei Quark.";28;0.03;0.2;0.2;0.4;0.06;4;15;0.9;0;0.04;0.1;1;95;120;0.1;0.02;120;0.01;11;0;40;160;18;0.6
"Quark 40% Fett i. Tr.";100g;155;10.5;11.2;3.2;0;30;250;;Milchprodukte;"Speisequark der Fettstufe (Sahnequark)";110;0.03;0.2;0.1;0.35;0.07;3.5;15;0.9;1;0.2;0.3;3;95;100;0.1;0.02;120;0.02;12;0.01;35;150;15;0.6
"Quinoa (ungekocht)";100g;368;14.1;6.1;58.5;7;53;60;;Sonstiges;"Pseudogetreide mit hohem Protein- und Magnesiumgehalt. Angaben beziehen sich auf das trockene Korn.";1;0.36;0.32;1.52;0.77;0.49;0;184;0;0;0;2.4;0;47;120;4.6;0.04;563;0.59;197;2;5;457;180;3.1
"Quitte";100g;40;0.4;0.5;7.3;5.9;35;200;;Obst;"Roh kaum genießbar, meist gekocht als Gelee oder Mus verzehrt. Hoher Pektingehalt.";22;0.02;0.02;0.2;0.1;0.04;0.1;13;0;13;0;0.5;4.5;11;5;0.7;0.02;197;0.13;8;0.06;4;17;14;0.04
"Radieschen";100g;16;1.1;0.1;2.1;1.6;15;10;;Gemüse;;4;0.03;0.04;0.3;0.18;0.06;1.5;25;0;26;0;0;1.3;35;21;1.2;0.01;255;0.01;8;0.05;17;28;40;0.1
"Radler (alkoholfrei)";100ml;24;0.2;0;5.5;0;60;330;100;Getränke;"Mischgetränk aus alkoholfreiem Bier und Zitronenlimonade. Werte können je nach Mischverhältnis leicht variieren.";0;0.01;0.01;0.4;0.05;0.02;0.5;5;0.1;2;0;0;0;6;10;0.02;0.02;35;0.01;6;0.02;4;12;5;0.02
"Rapsöl";100g;884;0;100;0;0;0;10;;Öle&Fette;"Reich an ungesättigten Fettsäuren und Vitamin E.";0;0;0;0;0;0;0;0;0;0;0;17.5;71;;;;;;;;;;;;
"Red Bull";100ml;45;0;0;11;0;70;250;100;Getränke;"Enthält Koffein (32mg/100ml) und Taurin. Klassischer Energy Drink.";;;;8;2;2;;;2;;;;;18;10;0.1;;2;;2;;40;18;;0.04
"Regenbogen-Forelle";100g;103;19.5;2.7;0;0;0;150;;Fisch&Meeresfrüchte;"Frisch, roh; Werte können je nach Zucht oder Wildfang leicht variieren.";16;0.12;0.1;4.4;0.7;0.35;5;7;4.5;0;19;0.2;0.1;24;60;1;0.04;380;0.04;28;0.02;50;220;240;0.7
"Reis (roh)";100g;353;6.8;0.6;74.1;1.4;70;100;;Sonstiges;;0;0.06;0.03;1.3;0.6;0.15;0.5;9;0;0;0;0.1;1;6;47;0.7;0.04;103;0.1;28;0.6;5;95;110;1.4
"Rhabarber";100g;13;0.6;0.1;1.4;1.8;15;200;;Gemüse;;2;0.02;0.03;0.3;0.1;0.02;0.5;7;0;10;0;0.2;29;86;22;0.2;0.01;270;0.03;12;0.2;4;25;11;0.1
"Rotbarsch";100g;105;18.2;3.5;0;0;0;150;;Fisch&Meeresfrüchte;"Frisch, roh; Werte können je nach Fangzeit schwanken. Hoher Gehalt an Omega-3-Fettsäuren und Jod.";15;0.07;0.12;3.8;0.4;0.25;1.5;8;3.5;0;2.3;0.8;1;22;120;0.9;0.04;345;0.04;30;0.02;84;210;240;0.5
"Ricotta 13 % Fett i. Tr.";100g;154;7.5;13;3;0;27;30;;Käse;"Frischkäse aus Schaf- oder Kuhmilchmolke";112;0.02;0.18;0.1;0.25;0.04;1.5;12;0.3;0;0.2;0.3;1;207;120;0.4;0.02;105;0.02;11;0.01;84;158;50;1.1
"Rehkeule";100g;108;22.4;1.9;0;0;0;150;;Fleisch&Wurst;"Mageres Wildfleisch, frisch, roh";4;0.18;0.25;8.2;0.7;0.45;3;8;2.8;0;0;0.3;0;7;60;3.2;0.04;335;0.25;26;0.02;60;220;210;4.4
"Rehrücken";100g;102;22;1.5;0;0;0;150;;Fleisch&Wurst;"Mageres Wildfleisch, Reich an B-Vitaminen und Eisen.";0;0.25;0.3;7.4;0.7;0.5;1;6;2;0;1;0.2;0;6;45;3;0.02;330;0.18;23;0.02;48;210;220;3.5
"Rinderbraten";100g;165;22;8.5;0;0;0;150;;Fleisch&Wurst;"Magerer Rinderbraten, gegart. Nährwerte können je nach Fettanteil variieren.";5;0.07;0.18;5;0.5;0.35;2;8;2.5;0;0;0.3;1;6;60;2.5;0.02;330;0.1;22;0.02;50;200;210;4.5
"Rinderfilet";100g;121;21.2;4;0;0;0;200;;Fleisch&Wurst;"Frisch, roh, mager";4;0.09;0.18;5.2;0.5;0.4;3;5;2;0;0.4;0.2;3;4;60;2.3;0.02;345;0.1;22;0.02;50;210;230;4.4
"Rindergulasch";100g;172;21.2;9.5;0;0;0;250;;Fleisch&Wurst;"Werte beziehen sich auf mageres Rindfleisch, roh. Zubereitet mit Sauce weichen die Werte ab.";0;0.09;0.18;5.2;0.5;0.4;3;8;2;0;0;0.5;1;6;80;2.5;0.02;330;0.1;22;0.02;50;190;210;4.5
"Rinderhackfleisch";100g;235;19;17;0;0;0;150;;Fleisch&Wurst;"Durchschnittswerte für Beef mit Fettanteil von ca. 15-20%";5;0.07;0.18;5.2;0.5;0.4;3;7;2.1;0;0.4;0.2;2;10;70;2.3;0.02;330;0.1;22;0.01;65;180;210;4.5
"Rinderhüfte";100g;118;21.5;3.5;0;0;0;200;;Fleisch&Wurst;"Mageres Teilstück vom Rind, ideal zum Kurzbraten.";0;0.09;0.18;5.2;0.5;0.4;3;8;2.2;0;0;0.2;0;4;60;2.5;0.02;345;0.1;22;0.02;50;200;220;4.5
"Rinderroulade";100g;159;22.5;6.8;1.5;0.2;0;200;;Fleisch&Wurst;"Werte inkl. Füllung (Speck, Zwiebel, Gurke) und Sauce, gegart. Kann je nach Rezept variieren.";15;0.08;0.18;5.2;0.5;0.4;2.5;8;2.5;1;0.1;0.4;3;15;80;2.4;0.02;320;0.1;22;0.05;380;180;210;4.1
"Rindersalami";100g;420;22;38;1;0;0;20;;Fleisch&Wurst;"Werte können je nach Reifegrad und Fettgehalt variieren. Hoher Natriumgehalt durch Pökelung.";0;0.2;0.2;5.2;0.6;0.3;;;2.5;0;0.5;0.4;10;15;1800;2.8;;450;0.1;25;0.04;1600;220;;4.5
"Rinderschnitzel";100g;108;22.5;2;0;0;0;150;;Fleisch&Wurst;"Mageres Rindfleisch aus der Oberschale oder dem Rücken, roh gewogen.";0;0.07;0.18;5.2;0.5;0.5;1.5;5;2;0;0.1;0.2;1.5;4;60;2.3;0.02;345;0.1;22;0.01;45;190;210;4.1
"Roastbeef";100g;120;22;3.5;0;0;0;150;;Fleisch&Wurst;"Mageres Rindfleisch, gegart/gebraten; Werte können je nach Fettanteil leicht variieren.";4;0.07;0.18;5.2;0.4;0.35;2.5;8;2.2;0;0.1;0.2;1;7;60;2.3;0.02;330;0.1;22;0.01;50;200;210;4.5
"Sauerbraten (Rind)";100g;165;23;6.5;3.5;0.2;15;200;;Fleisch&Wurst;"Werte beinhalten Sauce und Marinade; variiert je nach Rezeptur.";12;0.07;0.18;4.8;0.5;0.35;3.5;8;2.8;1;0.1;0.4;3;15;450;2.3;0.02;320;0.1;22;0.05;380;180;190;4.1
"Romanasalat";100g;15;1.2;0.2;1.2;1.7;15;150;;Gemüse;"Auch bekannt als Römischer Salat oder Bindesalat. Reich an Vitamin K und Beta-Carotin.";290;0.07;0.07;0.3;0.14;0.07;1;136;0;24;0;0.2;102;33;45;1;0.01;247;0.03;14;0.1;8;30;11;0.2
"Rosenkohl";100g;43;3.8;0.3;3.3;4.4;15;200;;Gemüse;"Frisch, gegart weichen die Werte leicht ab. Guter Vitamin C Lieferant.";42;0.1;0.12;0.9;0.5;0.2;1.5;101;0;112;0;1;236;31;21;1.3;0.01;387;0.07;22;0.2;5;71;110;0.4
"Rote Bete (Glas)";100g;42;1.2;0.1;8.4;2.6;64;150;;Gemüse;"Werte können je nach Essig- und Zuckerzusatz leicht variieren. Natriumgehalt durch Einlegen oft höher als bei frischer Ware.";2;0.02;0.04;0.2;0.1;0.05;0;50;0;5;0;0.04;3;16;45;0.8;0.01;350;0.07;23;0.3;40;35;15;0.3
"Rote Bete (vorgegart)";100g;43;1.5;0.1;8.4;2.5;64;150;;Gemüse;"Vakuumierte, bereits gekochte Rote Bete ohne Zusätze. Hoher Nitratgehalt.";2;0.03;0.04;0.2;0.1;0.05;0;80;0;5;0;0.04;3;16;60;0.8;0.02;300;0.07;20;0.3;60;35;20;0.3
"Rotkohl";100g;22;1.5;0.2;3.5;2.5;15;200;;Gemüse;"Frisch, roh; auch als Blaukraut bekannt. Reich an Vitamin C und Anthocyanen.";4;0.04;0.04;0.4;0.2;0.2;1.5;40;0;50;0;0.1;1.5;50;40;0.5;0.01;260;0.03;15;0.15;5;30;60;0.2
"Salami";100g;380;20;34;1;0;0;30;;Fleisch&Wurst;"Durchschnittswerte für luftgetrocknete Salami; Salzgehalt kann variieren.";0;0.3;0.2;5;0.6;0.3;1;5;1.5;0;0.5;0.2;5;15;1200;2;0.05;350;0.1;20;0.04;1500;200;180;3.5
"Sanddornbeeren";100g;82;0.7;5;3.3;4;30;50;;Obst;"Extrem hoher Vitamin C Gehalt. Vitamin-Werte können je nach Sorte stark variieren.";250;0.03;0.05;0.4;0.2;0.1;1.5;8;0;450;0;3;10;42;12;0.4;0.02;133;0.1;30;0.3;4;10;14;0.3
"Sardinen (abgetropft)";100g;208;24.6;11.5;0;0;0;100;;Fisch&Meeresfrüchte;"In Öl eingelegt, nach dem Abtropfen. Werte können je nach Zubereitung variieren. Sehr reich an Omega-3-Fettsäuren.";32;0.02;0.23;5.2;0.6;0.17;5;10;8.9;0;11;1.5;2;382;500;2.9;0.1;397;0.2;39;0.1;400;490;240;1.3
"Sauer-Kirschen";100g;50;0.9;0.3;10.2;1.3;25;125;;Obst;"Frisch, entkernt";40;0.04;0.04;0.4;0.1;0.05;0.4;8;0;12;0;0.1;3;8;4;0.6;0.01;114;0.12;8;0.04;2;19;11;0.1
"Sauerkraut";100g;19;1.1;0.3;1;2.5;15;200;;Gemüse;"Milchsauer vergorener Weißkohl, Gehalt an Vitamin C und Natrium kann je nach Zubereitung variieren. Geheiratet wird meist von Durchschnittswerten aus der Dose/Glas.";2;0.03;0.03;0.18;0.12;0.16;0.5;24;0;15;0;0.1;13;48;600;0.6;0.01;288;0.06;14;0.12;500;29;30;0.2
"Schafskäse 45 % Fett i. Tr.";100g;282.4;17.2;23.5;0.5;0;0;30;;Käse;"Werte können je nach Reifegrad und Salzlake variieren. Typischer Feta-Stil.";246;0.04;0.21;0.2;0.4;0.07;1.8;32;1.1;0;0.4;0.4;3;429;1200;0.7;0.02;62;0.04;20;0.02;1100;337;210;2.9
"Schokolade Dunkel (70%)";100g;598;7.8;43;34;11;25;25;;Süßwaren;"Werte variieren je nach Kakaoanteil und Hersteller. Hoher Gehalt an Flavonoiden.";4;0.05;0.1;0.9;0.4;0.04;0;10;0;0;1.6;0.7;7;73;20;12;0.04;715;1.8;230;1.9;20;308;0;3.3
"Schokolade Dunkel (85%)";100g;598;9;50;19;12;25;20;;Süßwaren;"Hoher Kakaoanteil, reich an Flavonoiden und Magnesium.";4;0.04;0.1;0.7;0.4;0.04;;8;0.1;0;0;1.5;8;65;;12;;715;1.8;230;1.9;15;320;;3.5
"Schokolade Dunkel (100%)";100g;601;12;54.5;8.1;15;20;20;;Süßwaren;"100% Kakaoanteil, ungesüßt";4;0.06;0.15;1.1;0.4;0.04;;15;;;;1.2;7.3;73;;12;;715;3.8;230;3.8;20;308;;6.8
"Schokolade Erdbeer-Joghurt";100g;560;6;38.2;49.1;1.2;45;100;;Süßwaren;"Werte variieren je nach Kakaoanteil und Joghurt-Füllung; typische Werte für gefüllte Vollmilchschokolade.";45;0.04;0.18;0.1;;0.04;;8;;1.5;;0.4;;180;;1.1;;330;;50;;90;190;;0.8
"Haselnussschokolade";100g;575;7.8;38.8;47.3;4.5;45;25;;Süßwaren;"Durchschnittswerte für Milchschokolade mit ganzen Haselnüssen.";40;0.1;0.25;1.2;0.5;0.08;5;25;0.4;1;0.2;6.2;5;155;40;2.8;0.04;450;0.5;105;0.8;50;220;75;1.6
"Schokolade Keks & Crunch";100g;548;6.1;32.4;57;2.1;60;25;;Süßwaren;"Durchschnittswerte für Milchschokolade mit Keks- und Getreidestückchen";45;0.08;0.2;0.4;;;;10;0.4;1;;0.8;;180;120;1.5;;330;;50;;90;170;;1.1
"Schokolade Mandelsplitter";100g;560;9.1;38.2;41.5;6.2;45;25;;Süßwaren;"Werte variieren je nach Kakaoanteil und Milchgehalt der Schokolade; Durchschnittswerte für Vollmilch-Variante.";40;0.12;0.35;1.2;;;;35;;0.5;;8.5;;180;;3.2;;550;;120;;40;280;;1.8
"Marzipanschokolade";100g;495;5.8;28.1;52.5;4.5;65;100;;Süßwaren;;;0.07;0.12;0.9;;;;;;;;4.5;4.2;65;;2.8;;330;;66;;15;145;;1.2
"Schokolade Noisette";100g;557;7.4;35.8;51.3;3;45;100;;Süßwaren;"Vollmilchschokolade mit Haselnussmark (Ghazelnut)";40;0.1;0.3;0.8;0.6;0.1;4;15;0.5;1;0.2;4;3;180;80;2;0.04;450;0.5;80;0.4;60;220;50;1.5
"Nougat-Schokolade";100g;550;6.5;34;54;3.5;45;100;;Süßwaren;;40;0.08;0.3;0.8;;;;15;;1;;4.5;;160;;2.1;;380;;65;;60;180;;1.2
"Vollmilchschokolade";100g;535;6.7;30.4;56.4;2.1;45;100;;Süßwaren;;45;0.04;0.2;0.2;0.4;0.05;3;8;0.5;1;0;0.6;4;189;120;1.2;0.04;372;0.3;58;0.25;78;209;90;1.1
"Schokolade Weiß";100g;539;5.9;32.1;59;0;45;25;;Süßwaren;"Weiße Schokolade besteht hauptsächlich aus Kakaobutter, Milchpulver und Zucker.";45;0.06;0.41;0.1;0.5;0.05;4;8;0.5;0;0.2;1.3;4;199;150;0.2;0.04;286;0.02;26;0.01;90;176;75;0.8
"Scholle";100g;86;18.1;1.5;0;0;0;150;;Fisch&Meeresfrüchte;"Magerer Speisefisch, reich an Jod und Selen. Werte beziehen sich auf den Rohzustand.";10;0.05;0.1;2.2;0.2;0.2;1;5;1.5;0;1.1;0.5;1;20;120;0.7;0.04;330;0.02;25;0.01;90;200;210;0.5
"Schwarzwälder Schinken";100g;235;29.5;12.5;1;0;0;20;;Fleisch&Wurst;"Geräucherter und luftgetrockneter Rohschinken; hoher Salzgehalt.";;0.65;0.2;5.5;;0.5;;;0.6;;;0.2;;10;;2.1;;380;;18;;2200;190;;2.4
"Schweinebauch";100g;263;15.2;22.5;0;0;0;150;;Fleisch&Wurst;"Frisch, roh. Werte können je nach Fettanteil variieren.";4;0.6;0.18;4.1;0.6;0.35;3;4;0.6;0;0.4;0.3;1;8;55;1;0.04;260;0.08;18;0.02;50;150;140;2.1
"Schweinebraten";100g;242;22.5;16.8;0;0;0;150;;Fleisch&Wurst;"Werte beziehen sich auf gegarten Schweinebraten ohne Sauce.";3;0.65;0.2;4.5;0.6;0.4;3.5;4;0.6;0;0.5;0.2;1;8;50;1.5;0.02;330;0.1;22;0.02;55;180;210;2.4
"Schweinefilet";100g;105;21;2;0;0;0;150;;Fleisch&Wurst;"Mageres Teilstück vom Schwein, reich an Protein und Vitamin B1.";2;0.9;0.2;5.2;0.6;0.5;4;4;0.6;0;0.4;0.1;1;6;45;1.2;0.04;380;0.1;25;0.02;50;215;240;2.4
"Schweinegeschnetzeltes (mager)";100g;118;21.5;3.5;0;0;0;200;;Fleisch&Wurst;"Werte beziehen sich auf rohes, mageres Schweinefleisch (z.B. aus der Oberschale) ohne Butter oder Öl zubereitet.";2;0.9;0.2;5.2;0.7;0.5;4;4;0.6;0;0.5;0.1;1;6;50;1.5;0.01;380;0.1;25;0.02;60;220;220;2.4
